TICKER,HOLDERS,TOP HOLDER,Total Held,FREE FLOAT
SRAJ,10,PT SURYA CIPTA INTI CEMERLANG,98.4%,6.26% ⚠️
LINK,6,AXIATA INVESTMENTS (INDONESIA) SDN.BHD,99.5%,6.30% ⚠️
ALMI,5,PT HUSIN INVESTAMA,93.6%,6.39% ⚠️
ESTI,2,EVER SHINE TEXTILE INDUSTRY CAHAYA INTERKONTINENTAL. PT,93.6%,6.43% ⚠️
MGLV,7,NEXTIER DATAMATE CENTER PT,93.5%,6.48% ⚠️
MLIA,10,PT. EKA GUNATAMA MANDIRI,93.5%,6.52% ⚠️
CNMA,5,PT. HARKATJAYA BUMIPERSADA,93.5%,6.53% ⚠️
ADMF,2,"BANK DANAMON INDONESIA Tbk, PT - REGISTRAR",93.4%,6.58% ⚠️
MDIA,5,PT VISI MEDIA ASIA Tbk,94.5%,6.59% ⚠️
MMLP,2,SAKA INDUSTRIAL ARJAYA,93.4%,6.64% ⚠️
BINO,2,RUHONG HOLDING PTE LTD,93.3%,6.67% ⚠️
KOBX,2,PT KOBEXINDO INVESTAMA,93.3%,6.67% ⚠️
SIPD,3,GREAT GIANT PINEAPPLE,94.6%,6.68% ⚠️
MTMH,9,SUMATERA TEKNINDO,94.8%,6.70% ⚠️
SKRN,8,PT SAGA INVESTAMA SEDAYA,98.1%,6.76% ⚠️
SAMF,9,PT. SARASWANTI UTAMA,98.2%,6.78% ⚠️
GMFI,2,PT ANGKASA PURA INDONESIA,93.2%,6.79% ⚠️
RISE,7,PT TANCORP GLOBAL SENTOSA,95.5%,6.83% ⚠️
BDMN,2,MUFG Bank Ltd,93.1%,6.89% ⚠️
SILO,5,SIGHT INVESTMENT COMPANY PTE LIMITED,93.1%,6.93% ⚠️
SAFE,5,"Infiniti Wahana, PT",94.4%,7.00% ⚠️
MCOL,5,EDIKA AGUNG MANDIRI PT,94.4%,7.04% ⚠️
PANI,5,MULTI ARTHA PRATAMA PT,92.9%,7.06% ⚠️
GIAA,2,PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,92.9%,7.09% ⚠️
SMMT,5,PT GEO ENERGY INVESTAMA,94.2%,7.10% ⚠️
GDYR,5,THE GOODYEAR TIRE & RUBBER,94.5%,7.13% ⚠️
TBIG,3,BERSAMA DIGITAL INFRASTRUCTURE ASIA PTE. LTD.,92.8%,7.21% ⚠️
BESS,6,PT BATULICIN ENAM SEMBILAN TRANSPORTASI,95.5%,7.28% ⚠️
FMII,6,PT SURYA MEGA INVESTINDO,97.6%,7.28% ⚠️
SCNP,11,SENA DWIMAKMUR,97.5%,7.28% ⚠️
BBRM,4,PT. MARCO POLO INDONESIA,92.7%,7.35% ⚠️
MTWI,6,"PT. BATAVIA PROSPERINDO INTERNASIONAL, TBK",96.9%,7.37% ⚠️
TALF,5,PT PROINVESTINDO,98.6%,7.37% ⚠️
BBHI,8,PT MEGA CORPORA,92.6%,7.41% ⚠️
VINS,6,PT. Victoria Investama Tbk,95.6%,7.41% ⚠️
GDST,7,GWIE GUNATO GUNAWAN,96.9%,7.47% ⚠️
FPNI,1,LOTTE CHEMICAL TITAN INTERNATIONAL SDN.BHD,92.5%,7.50% ⚠️
BNGA,2,CIMB GROUP SDN BHD,92.5%,7.53% ⚠️
AKSI,1,PT BATULICIN ENAM SEMBILAN TRANSPORTASI,92.5%,7.54% ⚠️
HMSP,1,PHILIP MORRIS INDONESIA,92.4%,7.56% ⚠️
ESTA,6,PT. Esta Utama Corpora,95.3%,7.57% ⚠️
KOIN,3,SCG DISTRIBUTION COMPANY LIMITED,95.7%,7.58% ⚠️
CMPP,3,AIRASIA AVIATION GROUP LIMITED,96.2%,7.59% ⚠️
PNBS,2,"BANK PAN INDONESIA TBK, PT",92.4%,7.60% ⚠️
ADES,2,WATER PARTNERS BOTTLING SA,92.4%,7.61% ⚠️
IGAR,3,PT Kingsford Holdings,92.4%,7.64% ⚠️
URBN,6,PT. Nusa Wijaya Propertindo,94.7%,7.66% ⚠️
MTEL,6,PT TELEKOMUNIKASI INDONESIA,92.3%,7.75% ⚠️
ERTX,1,PT UNGARAN SARI GARMENTS,92.2%,7.81% ⚠️
CENT,2,EP ID HOLDINGS PTE.LTD,96.2%,7.83% ⚠️
SPMA,4,PT PACIFIC STAR SYNERGY,93.6%,7.86% ⚠️
EDGE,3,DIGITAL EDGE (HONG KONG) LIMITED,99.6%,7.90% ⚠️
UANG,7,"SIRIUS SURYA SENTOSA, PT",93.2%,7.90% ⚠️
FITT,6,PT JINLONG RESOURCES INVESTMENT,94.3%,7.99% ⚠️
LCKM,4,PT LCK INVESTAMA PRIMA INDONESIA,92.0%,8.02% ⚠️
IMJS,1,PT. INDOMOBIL SUKSES INTERNASIONAL TBK,92.0%,8.03% ⚠️
CUAN,6,PRAJOGO PANGESTU,92.0%,8.04% ⚠️
ARGO,10,ARGO MANUNGGAL LAND DEVELOPMENT,91.9%,8.11% ⚠️
JARR,6,ESHAN AGRO SENTOSA PT,97.2%,8.13% ⚠️
BPFI,6,"WOORI CARD CO., LTD.",98.4%,8.15% ⚠️
NELY,3,"HASKOJAYA ABADI,PT",93.1%,8.15% ⚠️
IPOL,6,JEFFLYNE GOLDEN HOLDINGS PTE LTD,91.7%,8.28% ⚠️
BELI,5,PT GLOBAL INVESTAMA ANDALAN,91.7%,8.29% ⚠️
